"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00166130","CHALMETTE, LA US","2017-10-28","0.06","0.0","0.0","84","52","52"
"USC00166130","CHALMETTE, LA US","2017-10-29","0.00","0.0","0.0","63","40","40"
"USC00166130","CHALMETTE, LA US","2017-10-30","0.00","0.0","0.0","65","40","47"
"USC00166130","CHALMETTE, LA US","2017-10-31","0.00","0.0","0.0","77","46","52"
"USC00166130","CHALMETTE, LA US","2017-11-01","0.00","0.0","0.0","80","52","67"
"USC00166130","CHALMETTE, LA US","2017-11-02","0.00","0.0","0.0","80","66","69"
"USC00166130","CHALMETTE, LA US","2017-11-03","0.00","0.0","0.0","86","65","65"
"USC00166130","CHALMETTE, LA US","2017-11-04","0.00","0.0","0.0","85","65","66"
"USC00166130","CHALMETTE, LA US","2017-11-05","0.00","0.0","0.0","84","64","67"
"USC00166130","CHALMETTE, LA US","2017-11-06","0.00","0.0","0.0","87","65","67"
"USC00166130","CHALMETTE, LA US","2017-11-07","0.00","0.0","0.0","86","66","68"
"USC00166130","CHALMETTE, LA US","2017-11-08","0.00","0.0","0.0","86","68","72"
"USC00166130","CHALMETTE, LA US","2017-11-09","0.00","0.0","0.0","76","58","58"
"USC00166130","CHALMETTE, LA US","2017-11-10","0.00","0.0","0.0","64","52","54"
"USC00166130","CHALMETTE, LA US","2017-11-11","0.00","0.0","0.0","71","52","55"
"USC00166130","CHALMETTE, LA US","2017-11-12","0.06","0.0","0.0","72","55","64"
"USC00166130","CHALMETTE, LA US","2017-11-13","0.00","0.0","0.0","73","58","60"
"USC00166130","CHALMETTE, LA US","2017-11-14","0.00","0.0","0.0","78","55","56"
"USC00166130","CHALMETTE, LA US","2017-11-15","0.00","0.0","0.0","73","55","57"
"USC00166130","CHALMETTE, LA US","2017-11-16","0.00","0.0","0.0","76","55","55"
"USC00166130","CHALMETTE, LA US","2017-11-17","0.00","0.0","0.0","78","55","57"
"USC00166130","CHALMETTE, LA US","2017-11-18","0.00","0.0","0.0","80","57","65"
"USC00166130","CHALMETTE, LA US","2017-11-19","0.00","0.0","0.0","82","49","49"
"USC00166130","CHALMETTE, LA US","2017-11-20","0.00","0.0","0.0","64","45","46"
"USC00166130","CHALMETTE, LA US","2017-11-21","0.00","0.0","0.0","67","46","53"
"USC00166130","CHALMETTE, LA US","2017-11-22","0.00","0.0","0.0","73","53","56"
"USC00166130","CHALMETTE, LA US","2017-11-23","0.00","0.0","0.0","70","41","41"
"USC00166130","CHALMETTE, LA US","2017-11-24","0.00","0.0","0.0","64","38","38"
"USC00166130","CHALMETTE, LA US","2017-11-25","0.00","0.0","0.0","70","38","40"
"USC00166130","CHALMETTE, LA US","2017-11-26","0.00","0.0","0.0","71","40","51"
"USC00166130","CHALMETTE, LA US","2017-11-27","0.00","0.0","0.0","73","43","43"
"USC00166130","CHALMETTE, LA US","2017-11-28","0.00","0.0","0.0","68","43","47"
"USC00166130","CHALMETTE, LA US","2017-11-29","0.00","0.0","0.0","72","47","59"
"USC00166130","CHALMETTE, LA US","2017-11-30","0.00","0.0","0.0","77","59","62"
"USC00166130","CHALMETTE, LA US","2017-12-01","0.51","0.0","0.0","80","54","54"
"USC00166130","CHALMETTE, LA US","2017-12-02","0.00","0.0","0.0","77","54","58"
"USC00166130","CHALMETTE, LA US","2017-12-03","0.00","0.0","0.0","72","52","52"
"USC00166130","CHALMETTE, LA US","2017-12-04","0.00","0.0","0.0","71","52","59"
"USC00166130","CHALMETTE, LA US","2017-12-05","0.00","0.0","0.0","79","59","65"
"USC00166130","CHALMETTE, LA US","2017-12-06","0.64","0.0","0.0","84","45","45"
"USC00166130","CHALMETTE, LA US","2017-12-07","0.89","0.0","0.0","46","43","46"
"USC00166130","CHALMETTE, LA US","2017-12-08","0.83","0.0","0.0","50","37","37"
"USC00166130","CHALMETTE, LA US","2017-12-09","0.84","0.0","0.0","39","35","37"
"USC00166130","CHALMETTE, LA US","2017-12-10","0.00","0.0","0.0","53","34","35"
"USC00166130","CHALMETTE, LA US","2017-12-11","0.00","0.0","0.0","63","35","38"
"USC00166130","CHALMETTE, LA US","2017-12-12","0.00","0.0","0.0","70","38","51"
"USC00166130","CHALMETTE, LA US","2017-12-13","0.00","0.0","0.0","64","34","34"
"USC00166130","CHALMETTE, LA US","2017-12-14","0.00","0.0","0.0","62","34","43"
"USC00166130","CHALMETTE, LA US","2017-12-15","0.00","0.0","0.0","65","43","48"
"USC00166130","CHALMETTE, LA US","2017-12-16","0.08","0.0","0.0","48","41","44"
"USC00166130","CHALMETTE, LA US","2017-12-17","0.00","0.0","0.0","64","44","64"
"USC00166130","CHALMETTE, LA US","2017-12-18","2.75","0.0","0.0","69","63","65"
"USC00166130","CHALMETTE, LA US","2017-12-19","0.08","0.0","0.0","71","62","62"
"USC00166130","CHALMETTE, LA US","2017-12-20","0.00","0.0","0.0","77","62","71"
"USC00166130","CHALMETTE, LA US","2017-12-21","0.27","0.0","0.0","80","53","54"
"USC00166130","CHALMETTE, LA US","2017-12-22","0.00","0.0","0.0","77","54","67"
"USC00166130","CHALMETTE, LA US","2017-12-23","0.00","0.0","0.0","82","67","70"
"USC00166130","CHALMETTE, LA US","2017-12-24","0.03","0.0","0.0","70","48","48"
"USC00166130","CHALMETTE, LA US","2017-12-25","0.00","0.0","0.0","64","40","40"
"USC00166130","CHALMETTE, LA US","2017-12-26","0.00","0.0","0.0","54","39","49"
"USC00166130","CHALMETTE, LA US","2017-12-27","0.24","0.0","0.0","56","46","46"
"USC00166130","CHALMETTE, LA US","2017-12-28","0.02","0.0","0.0","46","40","40"
"USC00166130","CHALMETTE, LA US","2017-12-29","0.10","0.0","0.0","46","39","39"
"USC00166130","CHALMETTE, LA US","2017-12-30","0.00","0.0","0.0","59","39","47"
"USC00166130","CHALMETTE, LA US","2017-12-31","0.07","0.0","0.0","65","47","51"
"USC00166130","CHALMETTE, LA US","2018-01-01","0.07","0.0","0.0","51","26","26"
"USC00166130","CHALMETTE, LA US","2018-01-02","0.00","0.0","0.0","38","23","23"
"USC00166130","CHALMETTE, LA US","2018-01-03","0.00","0.0","0.0","40","23","34"
"USC00166130","CHALMETTE, LA US","2018-01-04","0.00","0.0","0.0","45","26","29"
"USC00166130","CHALMETTE, LA US","2018-01-05","0.00","0.0","0.0","48","29","32"
"USC00166130","CHALMETTE, LA US","2018-01-06","0.00","0.0","0.0","48","28","28"
"USC00166130","CHALMETTE, LA US","2018-01-07","0.00","0.0","0.0","57","28","45"
"USC00166130","CHALMETTE, LA US","2018-01-08","1.81","0.0","0.0","64","45","59"
"USC00166130","CHALMETTE, LA US","2018-01-09","0.47","0.0","0.0","66","54","54"
"USC00166130","CHALMETTE, LA US","2018-01-10","0.00","0.0","0.0","61","54","54"
"USC00166130","CHALMETTE, LA US","2018-01-11","0.01","0.0","0.0","69","54","63"
"USC00166130","CHALMETTE, LA US","2018-01-12","0.18","0.0","0.0","76","48","48"
"USC00166130","CHALMETTE, LA US","2018-01-13","0.00","0.0","0.0","48","33","33"
"USC00166130","CHALMETTE, LA US","2018-01-14","0.00","0.0","0.0","47","28","28"
"USC00166130","CHALMETTE, LA US","2018-01-15","0.00","0.0","0.0","52","28","31"
"USC00166130","CHALMETTE, LA US","2018-01-16","0.00","0.0","0.0","59","31","39"
"USC00166130","CHALMETTE, LA US","2018-01-17","0.09","0.0","0.0","48","18","19"
"USC00166130","CHALMETTE, LA US","2018-01-18","0.00","0.0","0.0","37","19","22"
"USC00166130","CHALMETTE, LA US","2018-01-19","0.06","0.0","0.0","47","22","28"
"USC00166130","CHALMETTE, LA US","2018-01-20","0.00","0.0","0.0","56","28","47"
"USC00166130","CHALMETTE, LA US","2018-01-21","0.00","0.0","0.0","71","47","50"
"USC00166130","CHALMETTE, LA US","2018-01-22","0.00","0.0","0.0","74","50","61"
"USC00166130","CHALMETTE, LA US","2018-01-23","0.09","0.0","0.0","72","43","43"
"USC00166130","CHALMETTE, LA US","2018-01-24","0.00","0.0","0.0","66","43","44"
"USC00166130","CHALMETTE, LA US","2018-01-25","0.00","0.0","0.0","56","37","38"
"USC00166130","CHALMETTE, LA US","2018-01-26","0.00","0.0","0.0","58","38","49"
"USC00166130","CHALMETTE, LA US","2018-01-27","0.03","0.0","0.0","70","49","55"
"USC00166130","CHALMETTE, LA US","2018-01-28","2.99","0.0","0.0","65","55","57"
"USC00166130","CHALMETTE, LA US","2018-01-29","0.00","0.0","0.0","66","50","50"
"USC00166130","CHALMETTE, LA US","2018-01-30","0.00","0.0","0.0","68","36","37"
"USC00166130","CHALMETTE, LA US","2018-01-31","0.00","0.0","0.0","58","36","37"
"USC00166130","CHALMETTE, LA US","2018-02-01","0.00","0.0","0.0","69","37","55"
"USC00166130","CHALMETTE, LA US","2018-02-02","0.08","0.0","0.0","76","49","49"
"USC00166130","CHALMETTE, LA US","2018-02-03","0.00","0.0","0.0","58","44","47"
"USC00166130","CHALMETTE, LA US","2018-02-04","0.19","0.0","0.0","65","47","65"
"USC00166130","CHALMETTE, LA US","2018-02-05","0.05","0.0","0.0","73","48","48"
"USC00166130","CHALMETTE, LA US","2018-02-06","0.00","0.0","0.0","65","48","61"
"USC00166130","CHALMETTE, LA US","2018-02-07","0.21","0.0","0.0","70","61","68"
"USC00166130","CHALMETTE, LA US","2018-02-08","0.30","0.0","0.0","77","46","46"
"USC00166130","CHALMETTE, LA US","2018-02-09","0.00","0.0","0.0","64","46","56"
"USC00166130","CHALMETTE, LA US","2018-02-10","0.11","0.0","0.0","76","56","65"
"USC00166130","CHALMETTE, LA US","2018-02-11","1.01","0.0","0.0","77","65","68"
"USC00166130","CHALMETTE, LA US","2018-02-12","0.31","0.0","0.0","81","49","49"
"USC00166130","CHALMETTE, LA US","2018-02-13","0.00","0.0","0.0","54","48","52"
"USC00166130","CHALMETTE, LA US","2018-02-14","0.00","0.0","0.0","73","52","60"
"USC00166130","CHALMETTE, LA US","2018-02-15","0.00","0.0","0.0","81","60","64"
"USC00166130","CHALMETTE, LA US","2018-02-16","0.00","0.0","0.0","81","63","65"
"USC00166130","CHALMETTE, LA US","2018-02-17","0.00","0.0","0.0","84","64","64"
"USC00166130","CHALMETTE, LA US","2018-02-18","0.00","0.0","0.0","83","63","66"
"USC00166130","CHALMETTE, LA US","2018-02-19","0.00","0.0","0.0","80","62","62"
"USC00166130","CHALMETTE, LA US","2018-02-20","0.02","0.0","0.0","82","62","70"
"USC00166130","CHALMETTE, LA US","2018-02-21","0.00","0.0","0.0","82","70","70"
"USC00166130","CHALMETTE, LA US","2018-02-22","0.00","0.0","0.0","81","68","68"
"USC00166130","CHALMETTE, LA US","2018-02-23","0.00","0.0","0.0","84","68","70"
"USC00166130","CHALMETTE, LA US","2018-02-24","1.19","0.0","0.0","84","66","68"
"USC00166130","CHALMETTE, LA US","2018-02-25","0.00","0.0","0.0","82","68","69"
"USC00166130","CHALMETTE, LA US","2018-02-26","0.38","0.0","0.0","74","62","63"
"USC00166130","CHALMETTE, LA US","2018-02-27","0.00","0.0","0.0","79","63","68"
"USC00166130","CHALMETTE, LA US","2018-02-28","0.00","0.0","0.0","74","66","66"
"USC00166130","CHALMETTE, LA US","2018-03-01","0.00","0.0","0.0","84","66","70"
"USC00166130","CHALMETTE, LA US","2018-03-02","0.00","0.0","0.0","86","70","72"
"USC00166130","CHALMETTE, LA US","2018-03-03","0.00","0.0","0.0","76","59","61"
"USC00166130","CHALMETTE, LA US","2018-03-04","0.00","0.0","0.0","73","49","53"
"USC00166130","CHALMETTE, LA US","2018-03-05","0.00","0.0","0.0","76","53","59"
"USC00166130","CHALMETTE, LA US","2018-03-06","1.01","0.0","0.0","81","58","58"
"USC00166130","CHALMETTE, LA US","2018-03-07","0.19","0.0","0.0","70","54","54"
"USC00166130","CHALMETTE, LA US","2018-03-08","0.00","0.0","0.0","63","42","43"
"USC00166130","CHALMETTE, LA US","2018-03-09","0.00","0.0","0.0","66","43","43"
"USC00166130","CHALMETTE, LA US","2018-03-10","0.00","0.0","0.0","69","43","59"
"USC00166130","CHALMETTE, LA US","2018-03-11","0.00","0.0","0.0","78","59","63"
"USC00166130","CHALMETTE, LA US","2018-03-12","0.58","0.0","0.0","72","49","49"
"USC00166130","CHALMETTE, LA US","2018-03-13","0.00","0.0","0.0","66","45","46"
"USC00166130","CHALMETTE, LA US","2018-03-14","0.00","0.0","0.0","67","42","42"
"USC00166130","CHALMETTE, LA US","2018-03-15","0.00","0.0","0.0","70","42","43"
"USC00166130","CHALMETTE, LA US","2018-03-16","0.00","0.0","0.0","74","43","61"
"USC00166130","CHALMETTE, LA US","2018-03-17","0.00","0.0","0.0","77","61","62"
"USC00166130","CHALMETTE, LA US","2018-03-18","0.01","0.0","0.0","81","62","67"
"USC00166130","CHALMETTE, LA US","2018-03-19","0.00","0.0","0.0","82","67","68"
"USC00166130","CHALMETTE, LA US","2018-03-20","0.00","0.0","0.0","86","62","62"
"USC00166130","CHALMETTE, LA US","2018-03-21","0.00","0.0","0.0","71","49","51"
"USC00166130","CHALMETTE, LA US","2018-03-22","0.00","0.0","0.0","72","51","51"
"USC00166130","CHALMETTE, LA US","2018-03-23","0.00","0.0","0.0","75","49","49"
"USC00166130","CHALMETTE, LA US","2018-03-24","0.00","0.0","0.0","75","49","62"
"USC00166130","CHALMETTE, LA US","2018-03-25","0.00","0.0","0.0","82","62","65"
"USC00166130","CHALMETTE, LA US","2018-03-26","0.00","0.0","0.0","85","65","65"
"USC00166130","CHALMETTE, LA US","2018-03-27","0.00","0.0","0.0","82","65","69"
"USC00166130","CHALMETTE, LA US","2018-03-28","0.00","0.0","0.0","81","69","70"
"USC00166130","CHALMETTE, LA US","2018-03-29","0.00","0.0","0.0","80","70","71"
"USC00166130","CHALMETTE, LA US","2018-03-30","1.61","0.0","0.0","79","59","61"
"USC00166130","CHALMETTE, LA US","2018-03-31","0.00","0.0","0.0","76","58","58"
"USC00166130","CHALMETTE, LA US","2018-04-01","0.00","0.0","0.0","74","52","53"
"USC00166130","CHALMETTE, LA US","2018-04-02","0.00","0.0","0.0","80","53","59"
"USC00166130","CHALMETTE, LA US","2018-04-03","0.00","0.0","0.0","86","59","71"
"USC00166130","CHALMETTE, LA US","2018-04-04","0.00","0.0","0.0","84","65","65"
"USC00166130","CHALMETTE, LA US","2018-04-05","0.89","0.0","0.0","76","53","53"
"USC00166130","CHALMETTE, LA US","2018-04-06","0.00","0.0","0.0","73","53","59"
"USC00166130","CHALMETTE, LA US","2018-04-07","0.00","0.0","0.0","77","59","65"
"USC00166130","CHALMETTE, LA US","2018-04-08","0.72","0.0","0.0","77","49","49"
"USC00166130","CHALMETTE, LA US","2018-04-09","0.18","0.0","0.0","58","49","57"
"USC00166130","CHALMETTE, LA US","2018-04-10","0.00","0.0","0.0","76","57","62"
"USC00166130","CHALMETTE, LA US","2018-04-11","0.00","0.0","0.0","79","53","53"
"USC00166130","CHALMETTE, LA US","2018-04-12","0.00","0.0","0.0","80","51","52"
"USC00166130","CHALMETTE, LA US","2018-04-13","0.00","0.0","0.0","80","52","65"
"USC00166130","CHALMETTE, LA US","2018-04-14","0.00","0.0","0.0","83","65","74"
"USC00166130","CHALMETTE, LA US","2018-04-15","4.40","0.0","0.0","77","51","51"
"USC00166130","CHALMETTE, LA US","2018-04-16","0.00","0.0","0.0","65","51","52"
"USC00166130","CHALMETTE, LA US","2018-04-17","0.00","0.0","0.0","77","52","53"
"USC00166130","CHALMETTE, LA US","2018-04-18","0.00","0.0","0.0","82","53","64"
"USC00166130","CHALMETTE, LA US","2018-04-19","0.00","0.0","0.0","87","64","68"
"USC00166130","CHALMETTE, LA US","2018-04-20","0.00","0.0","0.0","80","52","52"
"USC00166130","CHALMETTE, LA US","2018-04-21","0.00","0.0","0.0","73","52","54"
"USC00166130","CHALMETTE, LA US","2018-04-22","0.12","0.0","0.0","79","54","69"
"USC00166130","CHALMETTE, LA US","2018-04-23","0.18","0.0","0.0","84","57","57"
"USC00166130","CHALMETTE, LA US","2018-04-24","0.00","0.0","0.0","78","57","61"
"USC00166130","CHALMETTE, LA US","2018-04-25","0.00","0.0","0.0","83","59","59"
"USC00166130","CHALMETTE, LA US","2018-04-26","0.00","0.0","0.0","86","59","68"
"USC00166130","CHALMETTE, LA US","2018-04-27","0.18","0.0","0.0","78","58","59"
"USC00166130","CHALMETTE, LA US","2018-04-28","0.00","0.0","0.0","78","57","57"
"USC00166130","CHALMETTE, LA US","2018-04-29","0.00","0.0","0.0","84","57","65"
"USC00166130","CHALMETTE, LA US","2018-04-30","0.00","0.0","0.0","86","64","64"
"USC00166130","CHALMETTE, LA US","2018-05-01","0.00","0.0","0.0","83","61","66"
"USC00166130","CHALMETTE, LA US","2018-05-02","0.00","0.0","0.0","85","66","68"
"USC00166130","CHALMETTE, LA US","2018-05-03","0.00","0.0","0.0","85","65","66"
"USC00166130","CHALMETTE, LA US","2018-05-04","0.00","0.0","0.0","87","64","66"
"USC00166130","CHALMETTE, LA US","2018-05-05","0.00","0.0","0.0","84","66","69"
"USC00166130","CHALMETTE, LA US","2018-05-06","0.00","0.0","0.0","83","65","65"
"USC00166130","CHALMETTE, LA US","2018-05-07","0.00","0.0","0.0","89","64","65"
"USC00166130","CHALMETTE, LA US","2018-05-08","0.00","0.0","0.0","92","65","68"
"USC00166130","CHALMETTE, LA US","2018-05-09","0.00","0.0","0.0","93","68","71"
"USC00166130","CHALMETTE, LA US","2018-05-10","0.00","0.0","0.0","93","63","64"
"USC00166130","CHALMETTE, LA US","2018-05-11","0.00","0.0","0.0","89","64","69"
"USC00166130","CHALMETTE, LA US","2018-05-12","0.00","0.0","0.0","91","69","69"
"USC00166130","CHALMETTE, LA US","2018-05-13","0.00","0.0","0.0","92","68","70"
"USC00166130","CHALMETTE, LA US","2018-05-14","0.00","0.0","0.0","94","70","76"
"USC00166130","CHALMETTE, LA US","2018-05-15","0.00","0.0","0.0","97","73","77"
"USC00166130","CHALMETTE, LA US","2018-05-16","0.48","0.0","0.0","97","72","74"
"USC00166130","CHALMETTE, LA US","2018-05-17","0.00","0.0","0.0","95","74","79"
"USC00166130","CHALMETTE, LA US","2018-05-18","0.00","0.0","0.0","96","75","77"
"USC00166130","CHALMETTE, LA US","2018-05-19","1.87","0.0","0.0","92","68","72"
"USC00166130","CHALMETTE, LA US","2018-05-20","0.00","0.0","0.0","94","72","73"
"USC00166130","CHALMETTE, LA US","2018-05-21","0.00","0.0","0.0","92","72","73"
"USC00166130","CHALMETTE, LA US","2018-05-22","0.00","0.0","0.0","90","73","74"
"USC00166130","CHALMETTE, LA US","2018-05-23","0.00","0.0","0.0","93","72","74"
"USC00166130","CHALMETTE, LA US","2018-05-24","0.00","0.0","0.0","92","74","77"
"USC00166130","CHALMETTE, LA US","2018-05-25","0.09","0.0","0.0","91","72","73"
"USC00166130","CHALMETTE, LA US","2018-05-26","0.19","0.0","0.0","89","71","72"
"USC00166130","CHALMETTE, LA US","2018-05-27","0.30","0.0","0.0","88","72","74"
"USC00166130","CHALMETTE, LA US","2018-05-28","0.00","0.0","0.0","91","74","74"
"USC00166130","CHALMETTE, LA US","2018-05-29","0.00","0.0","0.0","93","74","77"
"USC00166130","CHALMETTE, LA US","2018-05-30","0.02","0.0","0.0","92","76","78"
"USC00166130","CHALMETTE, LA US","2018-05-31","0.00","0.0","0.0","93","76","78"
"USC00166130","CHALMETTE, LA US","2018-06-01","0.00","0.0","0.0","94","76","77"
"USC00166130","CHALMETTE, LA US","2018-06-02","0.00","0.0","0.0","94","77","79"
"USC00166130","CHALMETTE, LA US","2018-06-03","1.56","0.0","0.0","95","78","79"
"USC00166130","CHALMETTE, LA US","2018-06-04","0.00","0.0","0.0","93","76","79"
"USC00166130","CHALMETTE, LA US","2018-06-05","0.48","0.0","0.0","92","77","78"
"USC00166130","CHALMETTE, LA US","2018-06-06","1.02","0.0","0.0","91","70","71"
"USC00166130","CHALMETTE, LA US","2018-06-07","0.00","0.0","0.0","95","71","76"
"USC00166130","CHALMETTE, LA US","2018-06-08","0.00","0.0","0.0","92","74","75"
"USC00166130","CHALMETTE, LA US","2018-06-09","0.00","0.0","0.0","93","74","75"
"USC00166130","CHALMETTE, LA US","2018-06-10","0.00","0.0","0.0","94","75","76"
"USC00166130","CHALMETTE, LA US","2018-06-11","1.65","0.0","0.0","91","71","77"
"USC00166130","CHALMETTE, LA US","2018-06-12","0.78","0.0","0.0","92","73","77"
"USC00166130","CHALMETTE, LA US","2018-06-13","2.18","0.0","0.0","94","71","75"
"USC00166130","CHALMETTE, LA US","2018-06-14","0.00","0.0","0.0","92","75","78"
"USC00166130","CHALMETTE, LA US","2018-06-15","0.15","0.0","0.0","93","76","78"
"USC00166130","CHALMETTE, LA US","2018-06-16","0.13","0.0","0.0","91","76","77"
"USC00166130","CHALMETTE, LA US","2018-06-17","0.07","0.0","0.0","91","76","78"
"USC00166130","CHALMETTE, LA US","2018-06-18","0.02","0.0","0.0","90","78","81"
"USC00166130","CHALMETTE, LA US","2018-06-19","0.86","0.0","0.0","87","76","79"
"USC00166130","CHALMETTE, LA US","2018-06-20","0.00","0.0","0.0","93","75","77"
"USC00166130","CHALMETTE, LA US","2018-06-21","0.00","0.0","0.0","92","77","78"
"USC00166130","CHALMETTE, LA US","2018-06-22","0.00","0.0","0.0","93","78","78"
"USC00166130","CHALMETTE, LA US","2018-06-23","0.00","0.0","0.0","94","78","79"
"USC00166130","CHALMETTE, LA US","2018-06-24","0.00","0.0","0.0","94","79","81"
"USC00166130","CHALMETTE, LA US","2018-06-25","0.00","0.0","0.0","95","77","80"
"USC00166130","CHALMETTE, LA US","2018-06-26","0.00","0.0","0.0","94","78","78"
"USC00166130","CHALMETTE, LA US","2018-06-27","0.00","0.0","0.0","92","78","78"
"USC00166130","CHALMETTE, LA US","2018-06-28","2.07","0.0","0.0","92","78","80"
"USC00166130","CHALMETTE, LA US","2018-06-29","0.00","0.0","0.0","93","80","82"
"USC00166130","CHALMETTE, LA US","2018-06-30","0.92","0.0","0.0","94","76","80"
"USC00166130","CHALMETTE, LA US","2018-07-01","0.14","0.0","0.0","94","75","77"
"USC00166130","CHALMETTE, LA US","2018-07-02","0.60","0.0","0.0","94","75","77"
"USC00166130","CHALMETTE, LA US","2018-07-03","0.61","0.0","0.0","93","75","75"
"USC00166130","CHALMETTE, LA US","2018-07-04","0.17","0.0","0.0","87","75","78"
"USC00166130","CHALMETTE, LA US","2018-07-05","0.06","0.0","0.0","92","75","75"
"USC00166130","CHALMETTE, LA US","2018-07-06","0.01","0.0","0.0","93","74","77"
"USC00166130","CHALMETTE, LA US","2018-07-07","0.02","0.0","0.0","92","76","78"
"USC00166130","CHALMETTE, LA US","2018-07-08","0.00","0.0","0.0","93","75","75"
"USC00166130","CHALMETTE, LA US","2018-07-09","0.08","0.0","0.0","90","75","76"
"USC00166130","CHALMETTE, LA US","2018-07-10","0.00","0.0","0.0","90","76","78"
"USC00166130","CHALMETTE, LA US","2018-07-11","0.00","0.0","0.0","93","78","82"
"USC00166130","CHALMETTE, LA US","2018-07-12","0.32","0.0","0.0","94","76","77"
"USC00166130","CHALMETTE, LA US","2018-07-13","0.02","0.0","0.0","94","77","78"
"USC00166130","CHALMETTE, LA US","2018-07-14","0.02","0.0","0.0","95","78","81"
"USC00166130","CHALMETTE, LA US","2018-07-15","0.17","0.0","0.0","93","80","81"
"USC00166130","CHALMETTE, LA US","2018-07-16","1.70","0.0","0.0","93","77","80"
"USC00166130","CHALMETTE, LA US","2018-07-17","0.57","0.0","0.0","94","77","81"
"USC00166130","CHALMETTE, LA US","2018-07-18","1.90","0.0","0.0","94","76","80"
"USC00166130","CHALMETTE, LA US","2018-07-19","0.24","0.0","0.0","86","75","78"
"USC00166130","CHALMETTE, LA US","2018-07-20","0.00","0.0","0.0","94","78","81"
"USC00166130","CHALMETTE, LA US","2018-07-21","0.00","0.0","0.0","98","80","82"
"USC00166130","CHALMETTE, LA US","2018-07-22","0.00","0.0","0.0","96","80","81"
"USC00166130","CHALMETTE, LA US","2018-07-23","0.00","0.0","0.0","95","81","84"
"USC00166130","CHALMETTE, LA US","2018-07-24","0.00","0.0","0.0","95","77","78"
"USC00166130","CHALMETTE, LA US","2018-07-25","0.00","0.0","0.0","92","75","76"
"USC00166130","CHALMETTE, LA US","2018-07-26","0.00","0.0","0.0","91","76","78"
"USC00166130","CHALMETTE, LA US","2018-07-27","0.00","0.0","0.0","94","78","79"
"USC00166130","CHALMETTE, LA US","2018-07-28","0.21","0.0","0.0","93","78","79"
"USC00166130","CHALMETTE, LA US","2018-07-29","0.02","0.0","0.0","92","76","78"
"USC00166130","CHALMETTE, LA US","2018-07-30","0.02","0.0","0.0","93","78","79"
"USC00166130","CHALMETTE, LA US","2018-07-31","0.56","0.0","0.0","91","77","80"
"USC00166130","CHALMETTE, LA US","2018-08-01","0.03","0.0","0.0","89","74","75"
"USC00166130","CHALMETTE, LA US","2018-08-02","0.00","0.0","0.0","90","74","74"
"USC00166130","CHALMETTE, LA US","2018-08-03","0.13","0.0","0.0","91","74","76"
"USC00166130","CHALMETTE, LA US","2018-08-04","0.08","0.0","0.0","88","74","75"
"USC00166130","CHALMETTE, LA US","2018-08-05","0.17","0.0","0.0","89","74","76"
